行,科室,关键词,问题,病情分析/意见,相关问题1,相关问题2,相关问题3,相关问题4,相关问题5,相关问题6,
2397,外科,肛肠疾病,结肠炎的治疗费用要多少钱,"这位朋友你好，你可以用中药处方，葛根12克，白芍9克，黄芩9克，黄连6克，白头翁12克，木香6克，生甘草6克。水煎服，1日1-2剂。但愿我的回答对你有所帮助,在此祝你早日恢复健康。如还有疑问，请随时和我们联系！",结肠炎治疗,结肠炎治疗,溃疡性结肠炎的治疗费用？,可以治疗结肠炎吗？,"芜湖治疗结肠炎医院	结肠炎怎么治疗",结肠炎治疗啊,
2398,外科,早泄,早泄治疗一般需要多少钱,导致男性早泄的原因是比较多的，比如前列腺炎、肾虚、阴茎损伤、精神因素、包皮过长等，需要及时的到医院检查，不同的病因，治疗的费用也是不同的。。建议您及时的到医院进行检查，看下是什么原因导致的，在对症治疗，不要盲目的服药。平时要注意不要久坐，不要穿紧身裤、要注意清洗私处。,治疗早泄一般需要多少钱,早泄的治疗一般需要多少钱？,早泄治疗一般需要多少钱？需要那些...,泉城治疗早泄多少钱，一般需要多少钱呢？,治疗性功能障碍早泄一般需要多少钱,,
2399,妇产科,妇科综合,卵巢衰老怎样才能看好,"注意饮食调理,保证摄入足够的营养成分,可以帮助女性获得维持生殖系统健旺功能的必要营养.女性可适当多吃一些优质蛋白质,B族维生素,叶酸,铁,钙等营养物质,如鸡蛋,猪肝,牛奶,豆类及其制品,新鲜蔬菜,蘑菇,木耳,海带,紫菜,鱼类等.同时还要保持饮食清淡,不要过腻,过咸,过甜.饮食有规律,按时进餐,不暴饮暴食.食疗是预防卵巢功能早衰及驻颜抗衰老的最有效方法。。",要怎样才能很好的保护卵巢？真正延缓女人衰老？？,在生活中要怎样才能预防卵巢衰老,您好，怎样延缓卵巢衰老,怎样保养卵巢，延缓衰老?,怎样保养卵巢，延缓衰老,怎样做可以延缓卵巢衰老,
2400,皮肤科,牛皮癣,如何治疗寻常型银屑病,您好，寻常型银屑病是一种较为常见的疾病类型，主要分布在头部和四肢，表现在肌肤上是鳞屑性红斑，受到机体内部感染和外界环境多方面的诱因，促使疾病反复。建议患者根据自身的病症合理配伍中药进行针对性治疗。。另外，患者要放松身心，养成健康的生活习惯，合理饮食，适当的忌口，避免吃辛辣刺激性食物，牛羊肉海鲜等发物，多运动，增强体质来避免牛皮癣复发。,寻常型银屑病该如何治疗？,,,,,,
2401,外科,男科,阴茎肿大如何能治疗好,这个情况多考虑生殖系统炎症，注意进一步做前列腺液常规以及B超检查。建议可以去医院看看，严重的话医生会给你引流消肿的。注意饮食清淡忌辛辣刺激易上火的食物，注意阴部卫生勤清洗，保持阴部干燥洁净，当然不放心也可以吃点消炎药或者直接就医。,阴茎肿大怎么不办？如何让治疗呢？,手淫后阴茎肿大和尿痛，如何治疗？,阴茎肿大如何治疗医生帮忙指导一下,鼻炎如何治疗能好,阴茎短小能如何治疗？,怎么治疗能好，阴茎流脓,
2402,妇产科,妇科综合,治疗白带增多最少需要多少钱,西安治疗卵巢囊肿需要多少钱，卵巢囊肿早期症状不明显，随着囊瘤的增长，患者才渐渐有所感觉，而当自己有了感觉的时候，病情已经有些严重了，患上卵巢囊肿，一般会出现痛经、月经失调、不孕、恶心、呕吐、腹胀等症状。根据你的症状应该是卵巢囊肿。卵巢囊肿的注意事项主要有以下几个方面：1.有良好的心态应对压力，劳逸结合，不要过度疲劳。2.不要过多地吃咸而辣的食物，不吃过热、过冷、过期及变质的食物。3.饮食宜清淡，饮食应富含足够的营养，纠正偏食及不正常的饮食习惯。建议你去医院做个详细的检查。,白带治疗最贵需要多少钱？,治疗宫颈糜烂3度。最少需要多少钱,白带增多 需要怎么治疗,怎样治疗白带增多,治疗需要多少钱,"白带,白带增多的治疗",
2403,内科,肿瘤科,什么因素引起宫颈癌,引起宫颈癌的因素是什么呢?得了该病的患者首先不能吃太多热气上火的食物，日常饮食中要忌烟酒及辛辣油腻的食品，要注意适量地补充蛋白质和维生素等营养物质，多吃蔬菜水果。中西医治疗临床上可以达到控制肿瘤的生长，控制转移，提高患者自身的免疫力，增强体质，达到控制肿瘤带瘤生存的目的。,引起宫颈癌复发的因素是什么，会有什么症状？,哪些因素会引起宫颈癌？,宫颈癌是什么因素造成的,请问引起宫颈癌复发的因素是什么，会有什么症状？,引发宫颈癌的因素,引起女性宫颈癌的因素有哪些？好治吗？,
2404,外科,男性不育,精索静脉曲张的危害会有多大,精索静脉曲张的危害有多大，你好根据您的问题1、影响男性正常的工作和生活：患有精索静脉曲张的男性经常的会出现阴囊睾丸的坠胀感、阴囊湿冷、胀痛、隐痛，还会向同侧的会阴、腹股沟和腰部放射，在劳累、长时间的行走、剧烈运动和性生活活动后症状会加重，而在平卧、休息后可以缓解的现象。2、影响精子生成：曲张的静脉内血液流动缓慢，造成血液滞流，使睾丸局部温度升高。我们知道，人体精子的发生和生长都需要低于37℃的温度，由于睾丸局部温度升高影响精子生成，这就是精索静脉曲张影响精子生成的主要原因。3、睾丸萎缩：男性精索里的静脉因某种原因所致的回流受阻，可发生蔓状盘曲扩张。在男性不育症中，由精索静脉曲张引起者约占20%～30%。严重的精索静脉曲张不育者的睾丸一般多有萎缩现象。精索静脉曲张造成睾丸萎缩的原因是精索静脉的郁滞、阴囊温度较正常人为高、睾丸营养障碍以及毒素等原因所致。精索静脉曲张是男性不育的重要原因之一，提醒男性朋友：轻度患者可不必进行治疗，但若是已经病情严重的情况下，建议大家还是及时到正规专业的医院进行治疗为好!,精索静脉曲张会有哪些危害,精索静脉曲张對有多大危害，影响生育吗？,精索静脉曲张对以后生育有有多大危害,精索静脉曲张的危害,精索静脉曲张手淫到底会有多大影响,精索静脉曲张的症状?精索静脉曲张 危害?青少年精索静脉曲张,
2405,传染科,乙肝,得了乙肝该如何治疗效果好,患乙肝后，肝功正常是没有什么不适症状的。但要做到完全阴转是很困难的，其实肝功正常，HBVDNA阴性，一般不需要治疗，定期复查就行。如果肝功不正常可进行保肝用药，如果HBVDNA大于10的五次方拷贝就可考虑抗病毒治疗，常用的抗病毒药物：干扰素、拉米呋定、阿德福韦等等。,得了乙肝该如何治疗,得了乙肝怎么治疗好？,得了乙肝，中医，西医那过治疗好,得了乙肝怎么办？ 怎么治疗好？,乙肝治疗效果那家医院好,得了乙肝该注意什么？如何治疗效果好？,
2406,皮肤科,痤疮,痤疮在怎么治疗,你好，这个痤疮可以平时饮食注意，少吃辣椒类，可以药物痤疮膏外用，药物可以丹参酮胶囊口服。,怎么治疗痤疮,怎么治疗痤疮,痤疮怎么治疗,痤疮怎么治疗，如何治疗痤疮，痤疮吃什么,痤疮怎么治疗,痘痘 痤疮 暗疮怎么治疗,
2407,皮肤科,皮肤综合,角化病患者应该忌什么,。此病与遗传有一定的关系。是体内缺乏维生素A有关。建议您口服维生素A和倍他胡萝卜素（他是维生素A合成的前体物质），平时生活上多吃点含维生素A的食物，会自然缓解,角化病用什么治疗,掌趾角化病难治吗？忌吃，用什么？？,角化病吃什么药治疗,去什么医院查找毛囊角化病,灰泥角化病吃什么药,脂溢性角化病是什么病,
2408,内科,肿瘤科,脑瘤到底怎么治好些,您好，根据您的描述和您的症状来看，建议您到医院复查个CT检查，根据检查的结果系统的治疗,,,,,,,
2409,外科,骨科,韧带损伤患者禁忌吃什么,"您好，韧带拉伤的话，一般是需要长时间的恢复才会正常，建议您最好是注意近期内不要再剧烈运动，像跳、跑等，外敷接骨药或活络散瘀的中草药,消除肿胀,减轻疼痛,帮助愈合。",,,,,,,
2410,皮肤科,痤疮,痘痘是怎么引起的,"你好按现有的情况来分析,有可能是皮脂腺增生引起的，需要详细检查．明确一下诊断.才有治愈的希望,还要注意休息.多喝水.多补充维生素.",脸上痘痘是怎么引起的？,这些痘痘是怎么引起的,脸上的痘痘是怎么引起的,包皮长痘痘是怎么引起的？,脸上长了好多痘痘，这是怎么引起的,脸上起痘痘这是怎么引起的？,
2411,内科,肿瘤科,有黑色素瘤如何治,1）免疫治疗：干扰素，白介2，卡介苗划痕。2）化疗：氮烯米胺，甲环亚硝脲，3）如有可能，请加病灶冷冻治疗。高度恶性，预后不佳。抱歉。,黑色素瘤如何治疗,黑色素瘤应该如何治疗？,黑色素瘤晚期如何治疗？,黑色素瘤如何治疗?,阴道恶性黑色素瘤如何治？,黑色素瘤转移到淋巴上应如何治疗,
2412,外科,男科,有包皮过长能咋治,你好，包皮过长的情况考虑需要就医指导进行针对性的手术修复治疗，遵医嘱严格进行消炎处理，同时需要注意好局部卫生,包皮过长咋治,包皮过长咋治,包皮过长该咋治,鸡鸡小，短，咋治，包皮过长，射精没力气，,男人的阴茎包皮过长咋治……,包皮过长咋么弄了？？,
2413,外科,阳痿,阳痿定义,患有阳痿基本上是不能正常的进行勃起，要注意进行中药的调理的治疗就可以的，同时要注意进行对症的调理，避免过度的性生活。,阳痿的定义,怎么定义阳痿？,阳痿怎么定义？,阳痿早泄定义？,阳痿的定义是什么,请问阳痿是怎么定义的？谢谢,
2414,皮肤科,白癜风,腿部白斑应怎么治,白癜风是一种常见多发的色素性皮肤病。该病以局部或泛发性色素脱失形成白斑为特征，是一种获得性局限性或泛发性皮肤色素脱失症，是一影响美容的常见皮肤病，易诊断，治疗难，建议尽快到正规专业的医院进行治疗。养成良好的饮食习惯、及时调节心理、适当进行体育锻炼等，对白癜风都能起到预防的作用。白癜风患者在精神方面要多加注意，白癜风护理保健首先患者要注意调整情绪，保持乐观的心态，不要焦虑、恐慌，求医心切而导致有病乱投医，这些都会影响正常的治疗，同时这些消极情绪得不到及时调整，会导致神经内分泌失调，对白癜风患者的病情十分不利。,外阴白斑应怎么治疗？,脸上长白斑应怎么治疗,广东治白斑哪里好？腿部白癜风怎么治疗比较好,,,,
2415,传染科,乙肝,在广州有乙肝能办到健康证吗,"病情分析：你好,乙肝病毒携带者 是不能 办理健康证的.指导意见：在办理健康证的时候,需要检查乙肝五项,如果是乙肝病毒携带者,是不予办理健康证的,不能从事 和卫生食品 相关的工作.",乙肝患者能办到健康证吗,有乙肝能办到健康证吗？,有乙肝能办到餐饮健康证吗？,有乙肝能办到健康证吗,有乙肝能办到健康证吗？,在广州有乙肝能办健康证吗？,
2416,外科,骨科,脊髓炎治疗需要注意哪几点,你好，脊髓炎是指感染或毒素侵及脊髓所致的疾病。因在脊髓的病变常为横贯性，故又称横贯性脊髓炎。脊髓病病人必须吃一些健康均衡的食品。多喝水、多吃蔬菜水果等富含纤维的食物，少喝酒。。每天喝3000毫升水，才能保持身体健康及维持正常的大小便的习惯。可饮用适量的茶、咖啡或果汁以替代部份饮水。水果、蔬菜、豆类、糙米、全麦都蕴含丰富的纤维，多吃这些食物使粪便柔软，易于一排出，减少软便剂的需要量。牛奶提供蛋白质及多种维生素与矿物质，也是很重要的。但一天不要喝超过600毫升，喝太多牛奶会造成肾脏的问题。不要吃太多的脂肪和糖，特别是肥胖的患者。不要饮太多的酒，酒精对脊髓损伤患者会造成许多严重问题。,脊髓炎能治疗好吗，谢谢。,那家医院可以治疗脊髓炎,脊髓炎后期康复治疗,脊髓炎的治疗医院是怎么治疗脊髓炎的？,脊髓炎的治疗医院是怎么治疗脊髓炎的呢？,"脊髓炎,请问专家轻微的脊髓炎需要治疗吗?",
2417,内科,糖尿病,患了糖尿病肾病后该咋治,你好，根据你的描述这种情况是比较严重的，建议严格控制血糖，药物治疗,糖尿病肾病,糖尿病肾病,糖尿病肾病,糖尿病肾病ppt,糖尿病肾病治何时着手,糖尿病肾病饮食治疗,
2418,外科,颈椎病,请问医生颈椎病怎么治疗,"您好,一般的颈椎病都会引起头晕眼花,四肢麻木.脖子酸痛僵硬的症状.治疗颈椎病的方法有很多,一般建议先采用保守治疗,保守治疗分多种,内服,针灸,理疗,按摩,但是效果都不是很明显.但经过保守治疗后效果不理想,可以考虑微创治疗.随着医学科学技术的不断发展,微创治疗技术得到了越来越广泛的推广与应用.像臭氧髓核消融术,激光针刀技术,胶原酶溶解术,低温等离子消融术等,这些微创技术对颈腰椎间盘突出,膝关节骨性关节炎,骨质增生,肩周炎,颈腰肌劳损,腱鞘炎等骨病疾病的治疗具有,准确,灵活,安全系数高,操作简单,损伤小,恢复快,费用最省的优点.平时还要注意颈部的肌肉锻炼,我建议您一定要到专业的颈腰椎病医院,由专业医生根据您的具体情况,制定有针对性的治疗,以达到理想的治疗效果.祝您早日康复.",医生们，颈椎病怎么治疗呢？,医生你好！颈椎病怎么治疗？,颈椎病压迫喉咙怎么治疗？医生,医生你好，颈椎病怎么治疗,"颈椎病怎么治疗有效？颈椎病,颈椎病(感谢医生)。",颈椎病颈椎病怎么治疗,
2419,妇产科,妇科炎症,治疗盆腔炎医院,"病情分析：盆腔炎是指女性盆腔生殖器官,子宫周围的结缔组织及盆腔腹膜的炎症.慢性盆腔炎往往是急性期治疗不彻底迁延而来指导意见：一般治疗解除患者思想顾虑,增强治疗的信心,增加营养,锻炼身体,注意劳逸结合,提高机体抵抗力",治疗盆腔炎到那家医院比较好,治疗盆腔炎可以去中医院吗,许昌妇科医院哪家治疗盆腔炎最好？,哪家医院治疗盆腔炎好啊？,老是腰酸，江阴治疗盆腔炎的医院？,北碚哪家医院治疗盆腔炎最好,
2420,妇产科,妇科炎症,慢性盆腔炎医院,"病情分析：慢性盆腔炎是指女性内生殖器及其周围结缔组织,盆腔腹膜的慢性炎症.其主要临床表现为月经紊乱,白带增多,腰腹疼痛及不孕等,如已形成慢性附件炎,则可触及肿块.指导意见：注意劳逸结合：要劳逸结合,适当地学一些强身体操,如太极拳,太极剑等,以促进康复.同时还要注意避孕,节制性生活,以减少人流手术及其他对宫腔的创伤机会,防止细菌再次侵入而加重病情.注意饮食调理：患者宜食用高蛋白,高维生素的营养饮食,包括瘦肉,猪肝,豆腐,鸡肉,水果,蔬菜等.烟,酒,浓茶等辛辣刺激性食物,则应严格禁止食用.局部热敷治疗：为了促进炎症吸收,加快血液循环,缓解组织粘连,改善局部营养,每天可用温热物品热敷小腹部.在家中可用热水袋,电子取暖器等,也可用粗盐炒热布包进行热敷.只要坚持,就有很好的作用.",成都哪家医院治疗慢性盆腔炎比较好,"你好,到医院哪种检查可以确诊是慢性盆腔炎",医院怎样才能检查出慢性盆腔炎,"你好,到医院如何检查确诊是慢性盆腔炎?",请问您慢性盆腔炎那个医院治疗最好？,"慢性盆腔炎可以治疗吗？巴中哪家医院能治啊？

最近...",
2421,皮肤科,白癜风,发现白癜风怎么治疗,好，目前的医疗技术手段来说，在正规专科白癜风医院是可以达尽快康复的。对于白癜风患者治疗要遵循以下情况：。。　　1、白癜风治疗不好，最常见的原因为治疗不当以及未引起重视，有些人发病初期认为白癜风是小毛病，过段时间会自行消除，往往拖上很长一段时间，白斑发展越来越严重时才采取措施进行治疗，这样就不易治疗。。。　　2、临床治疗结果显示，对于白癜风，早发现、早诊断、早治疗效果更好，且可以有效避免白癜风反复发作的情况。,同事嘴唇发现白癜风，怎么治疗？,才发现的了白癜风，怎么治疗？,成人皮肤发现白癜风怎么治疗,青年发现白癜风怎么治疗好,,,
2422,外科,性功能障碍,专治性功能障碍,"病情分析：性功能障碍建议口服金匮肾气丸和维生素E.平时加强营养,多食用蔬菜和水果.指导意见：注意预防手淫过频或者避免放纵,性生活应有节制,一旦有性功能障碍,应正确对待,心情开放,生活节律,对治疗要有信心,食疗可以对症口服牛鞭汤或者赤豆五味方即可",专治性功能障碍医院哪点可以？,北京男科性功能障碍专治医院,性功能障碍有哪些症状？黄山哪家医院专治性功能障碍？,性功能障碍有哪些症状？凤阳哪家医院专治性功能障碍？,性功能障碍有哪些症状？含山哪家医院专治性功能障碍？,北京专治性功能障碍的医院有几家,
2423,皮肤科,痤疮,红色痘痘4各月钱无治疗告诉我吃哪种药,"痘痘是由于内分泌紊乱,皮脂腺分泌亢进,皮脂腺堵塞引起的,想彻底治愈,建议你用中医的疗法,运用有针对性的中成药内部温和调理是可以治愈的.",吃哪种药可以快速去掉痘痘,治疗尿不尽吃哪种药见效最快,宫颈纳氏囊肿吃哪种药治疗最好？,治疗普通肺炎吃哪种药最好？,你好！早泄吃哪种药可以治疗？,红色痘痘，怎么治疗？,
2424,妇产科,妇科炎症,盆腔炎治疗方案,"病情分析：您好,如果您要是慢性盆腔炎治疗起来比较麻烦,而且治疗时间比较长,指导意见：您好,如果当然每个医生所治疗的方法不一,但综合治疗还是完全可以好的.所以还是建议你选用综合的方法治疗此病,一般经过一个月即可完全痊愈,祝早日康复",盆腔炎最佳治疗方案，怎样治疗？,你好，盆腔炎的治疗方案，哪个最,盆腔炎的最好最快的治疗方案是什么？...,宫颈炎，盆腔炎的治疗方案,"盆腔炎应该治疗多久能治愈,用什么治疗方案",阴道炎，宫劲炎，盆腔炎有什么治疗方案？,
2425,内科,甲状腺疾病,有急性甲状腺炎怎样治,　亚急性甲状腺炎有多种治疗措施，包括硫脲类药、促甲状腺激素及抑制剂量的甲状腺激素采用对乙酰胺基酚这些药物影响疾病过程的证据尚不能令人认同。。,亚急性甲状腺炎怎样治疗才能根治,亚急性甲状腺炎怎么治？亚急性甲状腺炎怎么治。,亚急性甲状腺炎怎么治,亚急性甲状腺炎怎样冶疗,急性甲状腺炎怎样治疗,亚急性甲状腺炎该怎样治疗？,
2426,妇产科,妇科综合,子宫息肉应该怎么治疗能好,",你好　　西医对于宫颈息肉的治疗以手术切除为主。但若伴发有炎症时，先要控制感染;出血时，则以止血为主。炎症控制后再行手术，息肉虽然罕有癌变的，但癌变率亦在0.2％～0.4％，对于年龄超过45岁，尤其是更年期前后患有宫颈息肉的，手术切除后应将息肉送作病理检查，如有恶变征象，就要尽早采取治疗措施。此外，本病容易复发，手术后应定期复查，每三个月复查一次。。你好！建议你完善相关检查确诊并积极治疗",子宫息肉不是很大应该怎么治疗好,什么原因能导致子宫息肉,子宫息肉采取哪种治疗好。,子宫息肉能彻底治疗吗,"子宫息肉增生,怎么治疗?",子宫息肉应该怎样治疗？,
2427,皮肤科,白癜风,儿童白癜风有好的治疗方法吗,"治儿童白癜风有没有好的治疗方法,儿童白癜风的治疗要趁早，当大家发现身上有初期白癜风的症状时，就需要引起重视，千万不能够盲目的治疗。及早到正规医院详细确诊，采用针对性的治疗方法，治疗效果会比较好的。建议患者治疗白癜风，首先要积极配合医生的治疗，并且选择专业正规的医院进行全面检查后，对症治疗，遵照医嘱治疗、护理，同时可适当多吃一些含有丰富的矿物质和铬氨酸的食物，或者黑色食物，如，冬笋、黑芝麻、黑豆、黑芝麻、香菇、茄子、黑木耳、海带等等。",儿童白癜风有好的治疗方法吗,儿童会得白癜风吗，有什么好的治疗方法？,儿童白癜风有没有什么好的治疗方法？,,,,
2428,外科,前列腺,哪个治疗前列腺的办法好,前列腺炎迁延难愈的危害相当大：1、损害肾脏：发炎肿胀的前列腺会压迫尿道，导致尿路梗阻、肾脏积水及慢性肾功能衰竭。2、影响生育：由于前列腺液分泌异常，影响精子的存活及质量，并可引起精囊炎、血精，导致不育症3、影响性功能：炎症导致性兴奋神经受损，直接影响性生活，甚至影响夫妻关系。4、并发其他疾病：增加病菌感染机会，易并发其泌尿感染如精囊炎及输尿管炎等。5、心理和经济负担：患者的精力消耗和精神折磨较大，不少患者甚至因此会采取自暴自弃的态度而中途放弃治疗。。患有前列腺疾病单纯用药并不能治愈的，前列腺有一层脂质包膜，形成血--前列腺屏障，一般药物很难直接渗透，所以单纯用药治疗效果一般都不理想。我个人建议可以采取药物配合物理治疗，因为物理治疗可以把药物的药性直接输送到前列腺病灶的部位，这样可以使前列腺疾病彻底根治，不会复发。,治疗脑瘫的办法哪个好,治疗脑瘫的办法哪个好,治疗肺气肿的办法哪个好？,治疗宫颈糜烂哪个办法好37岁,前列腺炎和糖尿病哪个好治疗哪个,看病去哪个医院，治疗前列腺癌哪个医院好？,
2429,内科,肿瘤科,胃癌术后复发不能进食怎么办,"病情分析：你好,胃癌切除术后转移到腹腔.可引起腹部疼痛,压迫肠道和肠道血管,淋巴等回流阻碍而出现腹胀,或腹水等.指导意见：如果没有手术治疗,一般化疗或放疗效果不是很理想,目前建议使用止痛剂,从一般的止痛片到严重时使用曲马多片或针,也可以请就诊医生开杜冷丁肌注.如果进吃困难,可以用静脉补充能量.也可用流质少量,多餐.餐前使用吗丁啉片研粉口服,促进胃肠蠕动,吃饭时宜半卧位.",胃癌术后，呕吐不能进食，,胃癌术后不能进食,胃癌术后复发不能进食全靠营养液维持有什...,胃癌晚期术后化疗2期，呕吐严重，不能进食...,胃癌手术后复发，现在不能进食,胃癌术后残胃复发现患者身体虚不能进食靠营养管在有其...,
2430,妇产科,妇科炎症,有滴虫性阴道炎后该咋治好,您好，滴虫性阴道炎也是妇科常见的阴道炎类型的，常用的药物有甲硝唑栓等。,,,,,,,
2431,外科,痔疮,外痔用什么药治愈,你好你这种情况首先要看你的外痔大不大有没有便血的情况？理论上来讲用药治疗效果不是特别好，你需要做一个直肠镜检查和便常规检查，根据结果在主治医师的指导下必要时需要手术治疗。,外痔疮用什么药能治愈,外痔用什么药最好,"外痔？外痔用什么药,外痔(感谢医生)。",肛外痔疮用什么药,产妇用什么药，外痔,外痔用什么药,
2432,传染科,乙肝,乙肝可以吃什么好,1慢性乙肝根治几率很小，建议去正规医院就医，避免上当受骗。。。2是否需要治疗或如何治疗要根据近期的肝功能检查结果而定，建议提供。。。肝炎患者的饮食。。。1、忌辛辣。。。辛辣食品易引起消化道生湿化热，湿热夹杂，肝胆气机失调，消化功能减弱。故应避免食用辛辣之品。。。。2、忌烟。。。烟中含有多种有毒物质，能损害肝功能，抑制肝细胞再生和修复。因此肝病患者必须戒烟。。。。3、忌酒。。。不宜饮酒：酒精的90%要在肝脏内代谢，酒精可以使肝细胞的正常酶系统受到干扰破坏，所以直接损害肝细胞，使肝细胞坏死。患有急性或慢性活动期肝炎的病人，即使少量饮酒，也会使病情反复或发生变化。。。。4、忌食加工食品。。。少吃罐装或瓶装的饮料、食品。这是由于罐装、瓶装的饮料、食品中往往加入防腐剂，对肝脏或多或少都有毒性。。。。5、忌滥用激素、抗生素。。。是药三分毒，药物对肝肾多有损害，肝病患者一定要在医生的正确指导下，合理用药。。。。6、忌乱用补品。。。膳食平衡是保持身体健康的基本条件，如滋补不当，脏腑功能失调，打破平衡，会影响健康。。。。7、忌过多食用蛋白饮食。。。对于病情严重的肝炎病人来说，由于胃黏膜水肿、小肠绒毛变粗变短、胆汁分泌失调等，使人消化吸收功能降低。如果吃太多蛋、甲鱼、瘦肉等高蛋白食物，会引起消化不良和腹胀等病症。。。。。。。,乙肝吃什么好,乙肝吃什么好？吃什么不好,乙肝病可以冶好吗？吃什么药可以冶好,乙肝怎么可以冶好,乙肝吃什么好,乙肝吃什么食物好,
2433,精神科,精神科综合,看恐惧症的价格多少,恐惧发作时往往伴有显著的植物神经症状，当事人极力回避所害怕的处境，恐惧反应与引起恐惧的对象极不相称，他本人也知道害怕是过分的，不应该的或不合理的，却难以控制而反复出现。对恐惧症患者建议消除顾虑，树立信心，接受恐惧症的存在，及时接受正规的治疗，遵医嘱坚持治疗，做好长期治疗的准备，同时也要做好定期随访的工作。,哪个医院看恐惧症最好,"沈市阳哪家医院看恐惧症最好,推荐⑦〇五医院",余光恐惧症在全球应该有多少患者？,社交恐惧症能治愈吗？治愈率是多少...,,,
2434,性病科,梅毒,梅毒好治愈吗,"病情分析：你好,梅毒是比较好治疗的指导意见：梅毒的话一般采用强效青霉素120万单位*2注射双臀,每周一次连续三周,青霉素过敏者四环素 500mg/次 4次/天 口服 15～30天 或强力霉素 100mg/次 2次/天 口服 15天生活护理：梅毒患者在经过正规治疗以后,头三个月应当每月复查一次RPR的滴度,以后的可改为每三个月复查一次RPR,第二年每三个月或每半年复查一次RPR,以观察比较当次与前几次的RPR滴度变化的情况,转阴即治愈!",梅毒可以治愈吗多久才能好,梅毒1；32好治愈吗？？,梅毒究竟好治愈吗,梅毒好治愈吗,梅毒一期好治疗吗会治愈吗,梅毒一期好治疗吗可以治愈吗,
2435,外科,性功能障碍,得了勃起困难怎样治疗,"您好,阳痿,早泄只是一个症状,引起的病因很多,如神经、血管、海绵体充血、内分泌、龟头敏感度过高等，病因不同，治疗方法是有很大差异的，建议您可以到医院来检查一下，明确病因，针对性治疗。",勃起困难，怎样治疗可以完全好,勃起困难腰酸早泄怎样治疗,勃起困难怎样治疗,怎样治疗勃起困难,"得了阳痿怎么办,,勃起困难吃万艾可能治疗好吗？","得了阳痿怎么办,,勃起困难能治疗好吗？",
2436,整形美容,整形美容其它,女性美容偏方,"病情分析：您好,就你的情况来看,一般是内分泌紊乱,月经不调等造成的.指导意见：就你的情况可以用药膳来治疗.芍药花粥：粳米100克,芍药花（药店有售）2朵,红糖10克,冷水适量.1,将芍药花洗净,放入锅内加冷水,煮沸10分钟,滤取浓汁.2,将锅洗净加入冷水,粳米先用大火煮开,再用小火熬成粥,再加入芍药浓汁和红糖,继续煮至粥成就行了.每天一次,要长期喝一段时间,就能收到良好的效果.",女性美容美白怎样保养,用柠檬冲水喝能美容吗？听人说这个是偏方,皮肤美容的小偏方,都说女性经常睡美容觉好，那么女性美容觉的？都说女性...,都说女性经常睡美容觉好，那么女性美容觉的？都说女性...,女性服用精液是否有美容效果,
2437,内科,头痛,肌肉紧张性头痛,"病情分析：头疼的原因非常多,感冒发热,五官有毛病,血压异常,贫血,便秘等都会引起头疼指导意见：缓解头疼的方法 1.冰袋冷敷：将冰块放在冰袋里或用毛巾包好,敷在头疼部位.2.按摩头部：对头部进行力度适中的按摩,是缓解头疼的有效方法.太阳穴是头痛按摩的重要穴道,你可以用食指来按压,可以用拳头在太阳穴到发际处轻轻来回转动按摩. 仅仅看您对自己病情的描述是无法对您的病情做出诊断的,病情是因人而异的,建议您还是及时去医院详细就诊.您可以去医院的心脑血管科或者康复科做检查,做颈椎X线和脑血流图.",紧张性头痛，头紧，感觉头部肌肉持...,最近脑后勺肌肉紧张性头痛不知道什么时候就疼一阵....,精神紧张导致血管紧张性头痛以及全身肌肉有时颤以及记...,我患肌肉紧张性头痛，已经将近8年了，已经严重的影响到...,如果属于紧张性头痛，那怎样做到,紧张性头痛，一个月，CT，颈椎,
2438,皮肤科,皮肤综合,脂溢性皮炎发痒有脓包油脂分泌过多怎么办,病情分析：考虑是脂溢性皮炎 与皮脂腺分泌旺盛及内分泌代谢等有关 指导意见：首先要注意饮食少吃 辛辣 油腻 甜食等 其次可外擦姜黄消痤搽剂 口服二丁胶囊等,头发油脂分泌过多？,头皮发痒有脓包而且油脂分泌过多半年有余,鼻子两侧有皮质分泌油脂过多形成,的情况有可能是头皮分泌油脂过多导致的脂溢性皮炎的症...,请问油脂分泌过多，长粉刺和脓包，...,头皮脂溢性皮炎，老是分泌油脂,
2439,整形美容,减肥瘦身,肥胖症状明显,"病情分析：肥胖都是因为摄入过多的热量和脂肪导致的.指导意见：想要快速减肥首要的就是要减少甜食和脂肪大的食物的摄入.不要吃饼干甜食,清淡饮食,不要吃油腻大的食物,不要吃油炸食品.多锻炼,不要吃减肥药.每天晚上散步最少半个小时,一定要坚持.吃青菜为主,尽量不要摄入过多的米面食物.多做仰卧起坐.坚持就能很快减肥.每天你可以做到椅子上,上身坐直,然后慢慢弯腰到最大限度,停留一分钟然后起来接着这样做,效果很好的.",肥胖症状况,肥胖症都有什么症状,怎样可以减轻肥胖症状,肥胖症有什么症状?现,先天肥胖症的症状是什么,请问下肥胖症都是有那些症状,
